State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Western Australia","Total","TOTAL","Monthly","Total","Jun-2012",10433718.34,
"Western Australia","Total","TOTAL","Monthly","Total","Jul-2012",10004857.77,
"Western Australia","Total","TOTAL","Monthly","Total","Aug-2012",9554471.46,
"Western Australia","Total","TOTAL","Monthly","Total","Sep-2012",8582044.246,
"Western Australia","Total","TOTAL","Monthly","Total","Oct-2012",9286028.886,
"Western Australia","Total","TOTAL","Monthly","Total","Nov-2012",8942131.798,
"Western Australia","Total","TOTAL","Monthly","Total","Dec-2012",9999100.078,
"Western Australia","Total","TOTAL","Monthly","Total","Jan-2013",9209147.928,
"Western Australia","Total","TOTAL","Monthly","Total","Feb-2013",8899176.501,
"Western Australia","Total","TOTAL","Monthly","Total","Mar-2013",10506961.564,
"Western Australia","Total","TOTAL","Monthly","Total","Apr-2013",10311427.174,
"Western Australia","Total","TOTAL","Monthly","Total","May-2013",10790580.701,
"Western Australia","Total","TOTAL","Monthly","Total","Jun-2013",9974463.377,
"Western Australia","Total","TOTAL","Monthly","Total","Jul-2013",9952467.588,
"Western Australia","Total","TOTAL","Monthly","Total","Aug-2013",10963029.447,
"Western Australia","Total","TOTAL","Monthly","Total","Sep-2013",10866397.067,
"Western Australia","Total","TOTAL","Monthly","Total","Oct-2013",10767789.285,
"Western Australia","Total","TOTAL","Monthly","Total","Nov-2013",10591149.992,
"Western Australia","Total","TOTAL","Monthly","Total","Dec-2013",12124948.636,
"Western Australia","Total","TOTAL","Monthly","Total","Jan-2014",11406722.904,
"Western Australia","Total","TOTAL","Monthly","Total","Feb-2014",11094867.997,
"Western Australia","Total","TOTAL","Monthly","Total","Mar-2014",11871339.53,
"Western Australia","Total","TOTAL","Monthly","Total","Apr-2014",10850785.722,
"Western Australia","Total","TOTAL","Monthly","Total","May-2014",11110201.618,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jun-2012",519.224,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jul-2012",373.723,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Aug-2012",262.801,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Sep-2012",438.413,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Oct-2012",283.042,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Nov-2012",498.569,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Dec-2012",284.162,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jan-2013",388.31,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Feb-2013",221.117,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Mar-2013",242.301,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Apr-2013",280.166,
"Western Australia","Total","TOTAL","Monthly","Cambodia","May-2013",295.346,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jun-2013",448.445,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jul-2013",499.624,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Aug-2013",454.745,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Sep-2013",190.501,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Oct-2013",237.486,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Nov-2013",409.94,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Dec-2013",416.215,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jan-2014",591.869,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Feb-2014",450.896,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Mar-2014",750.296,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Apr-2014",609.693,
"Western Australia","Total","TOTAL","Monthly","Cambodia","May-2014",478.387,
"Western Australia","Total","TOTAL","Monthly","Cape Verde","Jan-2013",3.39,
"Western Australia","Total","TOTAL","Monthly","Georgia","Jul-2012",135.735,
"Western Australia","Total","TOTAL","Monthly","Georgia","Aug-2012",3.466,
"Western Australia","Total","TOTAL","Monthly","Georgia","Sep-2012",145.88,
"Western Australia","Total","TOTAL","Monthly","Georgia","Oct-2012",44.426,
"Western Australia","Total","TOTAL","Monthly","Georgia","Nov-2012",93.042,
"Western Australia","Total","TOTAL","Monthly","Georgia","Dec-2012",214.724,
"Western Australia","Total","TOTAL","Monthly","Georgia","Jan-2013",19.905,
"Western Australia","Total","TOTAL","Monthly","Georgia","Feb-2013",74.938,
"Western Australia","Total","TOTAL","Monthly","Georgia","Apr-2013",172.727,
"Western Australia","Total","TOTAL","Monthly","Georgia","May-2013",169.641,
"Western Australia","Total","TOTAL","Monthly","Georgia","Jul-2013",100.619,
"Western Australia","Total","TOTAL","Monthly","Georgia","Aug-2013",111.165,
"Western Australia","Total","TOTAL","Monthly","Georgia","Sep-2013",33.202,
"Western Australia","Total","TOTAL","Monthly","Georgia","Oct-2013",79.5,
"Western Australia","Total","TOTAL","Monthly","Georgia","Nov-2013",345.746,
"Western Australia","Total","TOTAL","Monthly","Georgia","Dec-2013",43.387,
"Western Australia","Total","TOTAL","Monthly","Georgia","Mar-2014",47.1,
"Western Australia","Total","TOTAL","Monthly","Georgia","May-2014",3.57,
"Western Australia","Total","TOTAL","Monthly","Gibraltar","May-2014",8.87,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Jun-2012",279.398,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Aug-2012",6.536,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Sep-2012",3.123,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Oct-2012",49.639,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Dec-2012",13.255,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Apr-2013",45.106,
"Western Australia","Total","TOTAL","Monthly","Guatemala","May-2013",37.614,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Aug-2013",43.494,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Sep-2013",33.82,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Oct-2013",12.875,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Nov-2013",14.895,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Dec-2013",7.819,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Feb-2014",13.875,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Mar-2014",16.062,
"Western Australia","Total","TOTAL","Monthly","Guatemala","Apr-2014",53.017,
"Western Australia","Total","TOTAL","Monthly","Guatemala","May-2014",11.73,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Jun-2012",135812.54,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Jul-2012",120042.254,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Aug-2012",101926.856,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Sep-2012",72418.645,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Oct-2012",295818.438,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Nov-2012",146871.495,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Dec-2012",109689.494,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Jan-2013",87864.179,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Feb-2013",55779.673,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Mar-2013",146123.686,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Apr-2013",64478.741,
"Western Australia","Total","TOTAL","Monthly","Indonesia","May-2013",109514.712,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Jun-2013",67189.717,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Jul-2013",74393.584,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Aug-2013",65445.928,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Sep-2013",83769.065,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Oct-2013",155649.253,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Nov-2013",224590.682,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Dec-2013",126179.12,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Jan-2014",81683.727,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Feb-2014",108838.387,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Mar-2014",114527.925,
"Western Australia","Total","TOTAL","Monthly","Indonesia","Apr-2014",120654.065,
"Western Australia","Total","TOTAL","Monthly","Indonesia","May-2014",175523.663,
"Western Australia","Total","TOTAL","Monthly","Iraq","Jun-2012",81.17,
"Western Australia","Total","TOTAL","Monthly","Iraq","Jul-2012",10.412,
"Western Australia","Total","TOTAL","Monthly","Iraq","Aug-2012",4.62,
"Western Australia","Total","TOTAL","Monthly","Iraq","Sep-2012",428.126,
"Western Australia","Total","TOTAL","Monthly","Iraq","Oct-2012",139.844,
"Western Australia","Total","TOTAL","Monthly","Iraq","Nov-2012",94.566,
"Western Australia","Total","TOTAL","Monthly","Iraq","Dec-2012",80,
"Western Australia","Total","TOTAL","Monthly","Iraq","Jan-2013",35685.229,
"Western Australia","Total","TOTAL","Monthly","Iraq","Feb-2013",67776.315,
"Western Australia","Total","TOTAL","Monthly","Iraq","Mar-2013",41983.386,
"Western Australia","Total","TOTAL","Monthly","Iraq","Apr-2013",53520.743,
"Western Australia","Total","TOTAL","Monthly","Iraq","May-2013",59938.618,
"Western Australia","Total","TOTAL","Monthly","Iraq","Jun-2013",32484.273,
"Western Australia","Total","TOTAL","Monthly","Iraq","Jul-2013",31.408,
"Western Australia","Total","TOTAL","Monthly","Iraq","Aug-2013",19054.144,
"Western Australia","Total","TOTAL","Monthly","Iraq","Sep-2013",17596.981,
"Western Australia","Total","TOTAL","Monthly","Iraq","Oct-2013",129.761,
"Western Australia","Total","TOTAL","Monthly","Iraq","Nov-2013",75.291,
"Western Australia","Total","TOTAL","Monthly","Iraq","Dec-2013",201.89,
"Western Australia","Total","TOTAL","Monthly","Iraq","Jan-2014",17472.054,
"Western Australia","Total","TOTAL","Monthly","Iraq","Mar-2014",34664.37,
"Western Australia","Total","TOTAL","Monthly","Iraq","Apr-2014",1064.247,
"Western Australia","Total","TOTAL","Monthly","Iraq","May-2014",319.438,
"Western Australia","Total","TOTAL","Monthly","Israel","Jun-2012",5896.032,
"Western Australia","Total","TOTAL","Monthly","Israel","Jul-2012",7324.839,
"Western Australia","Total","TOTAL","Monthly","Israel","Aug-2012",3067.814,
"Western Australia","Total","TOTAL","Monthly","Israel","Sep-2012",59.555,
"Western Australia","Total","TOTAL","Monthly","Israel","Oct-2012",16468.314,
"Western Australia","Total","TOTAL","Monthly","Israel","Nov-2012",332.934,
"Western Australia","Total","TOTAL","Monthly","Israel","Dec-2012",226.913,
"Western Australia","Total","TOTAL","Monthly","Israel","Jan-2013",11418.911,
"Western Australia","Total","TOTAL","Monthly","Israel","Feb-2013",684.902,
"Western Australia","Total","TOTAL","Monthly","Israel","Mar-2013",213.084,
"Western Australia","Total","TOTAL","Monthly","Israel","Apr-2013",4878.472,
"Western Australia","Total","TOTAL","Monthly","Israel","May-2013",11502.069,
"Western Australia","Total","TOTAL","Monthly","Israel","Jun-2013",6999.785,
"Western Australia","Total","TOTAL","Monthly","Israel","Jul-2013",132.358,
"Western Australia","Total","TOTAL","Monthly","Israel","Aug-2013",10386.066,
"Western Australia","Total","TOTAL","Monthly","Israel","Sep-2013",10483.677,
"Western Australia","Total","TOTAL","Monthly","Israel","Oct-2013",7475.334,
"Western Australia","Total","TOTAL","Monthly","Israel","Nov-2013",6912.292,
"Western Australia","Total","TOTAL","Monthly","Israel","Dec-2013",5696.424,
"Western Australia","Total","TOTAL","Monthly","Israel","Jan-2014",12863.679,
"Western Australia","Total","TOTAL","Monthly","Israel","Feb-2014",9559.193,
"Western Australia","Total","TOTAL","Monthly","Israel","Mar-2014",39.234,
"Western Australia","Total","TOTAL","Monthly","Israel","Apr-2014",12550.513,
"Western Australia","Total","TOTAL","Monthly","Israel","May-2014",6536.578,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Jun-2012",375.372,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Jul-2012",474.074,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Aug-2012",262.304,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Sep-2012",246.287,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Oct-2012",410.156,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Nov-2012",624.798,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Dec-2012",781.796,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Jan-2013",22.834,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Feb-2013",243.673,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Mar-2013",67.472,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Apr-2013",277.056,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","May-2013",243.929,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Jun-2013",157.843,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Jul-2013",103.272,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Aug-2013",1747.432,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Sep-2013",510.366,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Oct-2013",495.728,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Nov-2013",911.345,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Dec-2013",34.578,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Jan-2014",192.399,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Feb-2014",676.387,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Mar-2014",1033.681,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","Apr-2014",328.591,
"Western Australia","Total","TOTAL","Monthly","Kazakhstan","May-2014",107.953,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Jun-2012",57536.681,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Jul-2012",19488.845,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Aug-2012",18625.976,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Sep-2012",19166.94,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Oct-2012",20641.066,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Nov-2012",57638.294,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Dec-2012",51909.135,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Jan-2013",17225.019,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Feb-2013",8560.298,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Mar-2013",27176.922,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Apr-2013",17891.819,
"Western Australia","Total","TOTAL","Monthly","New Zealand","May-2013",13566.657,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Jun-2013",15116.44,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Jul-2013",32760.464,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Aug-2013",20275.219,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Sep-2013",12668.298,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Oct-2013",23083.859,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Nov-2013",21307.061,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Dec-2013",14928.9,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Jan-2014",17352.994,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Feb-2014",19536.581,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Mar-2014",11223.148,
"Western Australia","Total","TOTAL","Monthly","New Zealand","Apr-2014",18420.486,
"Western Australia","Total","TOTAL","Monthly","New Zealand","May-2014",29901.489,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Jun-2012",85.977,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Jul-2012",177.588,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Aug-2012",136.469,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Sep-2012",32.391,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Oct-2012",74.528,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Nov-2012",245.974,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Dec-2012",45.588,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Jan-2013",5.251,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Feb-2013",80.882,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Mar-2013",94.946,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Apr-2013",14.517,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","May-2013",139,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Jun-2013",45.152,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Jul-2013",83.405,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Aug-2013",87.953,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Sep-2013",133.432,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Oct-2013",2.5,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Nov-2013",5.289,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Dec-2013",138.639,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Jan-2014",156.256,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Feb-2014",93.687,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Mar-2014",2.37,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","Apr-2014",25,
"Western Australia","Total","TOTAL","Monthly","French Polynesia","May-2014",116.517,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Jun-2012",48615.226,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Jul-2012",72060.806,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Aug-2012",70791.302,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Sep-2012",145491.337,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Oct-2012",69067.639,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Nov-2012",75547.635,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Dec-2012",47919.819,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Jan-2013",52654.655,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Feb-2013",6443.407,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Mar-2013",74247.123,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Apr-2013",8275.013,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","May-2013",75917.448,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Jun-2013",9754.198,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Jul-2013",90605.391,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Aug-2013",70681.911,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Sep-2013",24670.98,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Oct-2013",81355.908,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Nov-2013",4771.504,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Dec-2013",102152.252,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Jan-2014",5395.715,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Feb-2014",3030.892,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Mar-2014",9439.636,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","Apr-2014",68260.483,
"Western Australia","Total","TOTAL","Monthly","Papua New Guinea","May-2014",78101.919,
"Western Australia","Total","TOTAL","Monthly","Qatar","Jun-2012",13561.636,
"Western Australia","Total","TOTAL","Monthly","Qatar","Jul-2012",31611.76,
"Western Australia","Total","TOTAL","Monthly","Qatar","Aug-2012",8310.877,
"Western Australia","Total","TOTAL","Monthly","Qatar","Sep-2012",21621.545,
"Western Australia","Total","TOTAL","Monthly","Qatar","Oct-2012",15728.999,
"Western Australia","Total","TOTAL","Monthly","Qatar","Nov-2012",21284.112,
"Western Australia","Total","TOTAL","Monthly","Qatar","Dec-2012",14179.979,
"Western Australia","Total","TOTAL","Monthly","Qatar","Jan-2013",22792.373,
"Western Australia","Total","TOTAL","Monthly","Qatar","Feb-2013",1210.279,
"Western Australia","Total","TOTAL","Monthly","Qatar","Mar-2013",30207.72,
"Western Australia","Total","TOTAL","Monthly","Qatar","Apr-2013",15433.848,
"Western Australia","Total","TOTAL","Monthly","Qatar","May-2013",28224.036,
"Western Australia","Total","TOTAL","Monthly","Qatar","Jun-2013",22002.622,
"Western Australia","Total","TOTAL","Monthly","Qatar","Jul-2013",14091.298,
"Western Australia","Total","TOTAL","Monthly","Qatar","Aug-2013",35970.889,
"Western Australia","Total","TOTAL","Monthly","Qatar","Sep-2013",6151.384,
"Western Australia","Total","TOTAL","Monthly","Qatar","Oct-2013",5614.213,
"Western Australia","Total","TOTAL","Monthly","Qatar","Nov-2013",16110.255,
"Western Australia","Total","TOTAL","Monthly","Qatar","Dec-2013",22397.627,
"Western Australia","Total","TOTAL","Monthly","Qatar","Jan-2014",28119.235,
"Western Australia","Total","TOTAL","Monthly","Qatar","Feb-2014",8873.07,
"Western Australia","Total","TOTAL","Monthly","Qatar","Mar-2014",19150.566,
"Western Australia","Total","TOTAL","Monthly","Qatar","Apr-2014",24754.751,
"Western Australia","Total","TOTAL","Monthly","Qatar","May-2014",26496.062,
"Western Australia","Total","TOTAL","Monthly","Puerto Rico","May-2013",77.807,
"Western Australia","Total","TOTAL","Monthly","Puerto Rico","Nov-2013",513.662,
"Western Australia","Total","TOTAL","Monthly","Puerto Rico","Dec-2013",528.254,
"Western Australia","Total","TOTAL","Monthly","Puerto Rico","Mar-2014",14.243,
"Western Australia","Total","TOTAL","Monthly","Puerto Rico","Apr-2014",12.128,
"Western Australia","Total","TOTAL","Monthly","Romania","Jun-2012",59.141,
"Western Australia","Total","TOTAL","Monthly","Romania","Jul-2012",153.272,
"Western Australia","Total","TOTAL","Monthly","Romania","Aug-2012",142.709,
"Western Australia","Total","TOTAL","Monthly","Romania","Sep-2012",91.635,
"Western Australia","Total","TOTAL","Monthly","Romania","Oct-2012",77.038,
"Western Australia","Total","TOTAL","Monthly","Romania","Nov-2012",18.042,
"Western Australia","Total","TOTAL","Monthly","Romania","Dec-2012",61.972,
"Western Australia","Total","TOTAL","Monthly","Romania","Jan-2013",62.223,
"Western Australia","Total","TOTAL","Monthly","Romania","Feb-2013",71.298,
"Western Australia","Total","TOTAL","Monthly","Romania","Apr-2013",19.274,
"Western Australia","Total","TOTAL","Monthly","Romania","May-2013",66.274,
"Western Australia","Total","TOTAL","Monthly","Romania","Jun-2013",15.93,
"Western Australia","Total","TOTAL","Monthly","Romania","Jul-2013",27.677,
"Western Australia","Total","TOTAL","Monthly","Romania","Aug-2013",11.307,
"Western Australia","Total","TOTAL","Monthly","Romania","Sep-2013",27.842,
"Western Australia","Total","TOTAL","Monthly","Romania","Oct-2013",14.142,
"Western Australia","Total","TOTAL","Monthly","Romania","Nov-2013",5.152,
"Western Australia","Total","TOTAL","Monthly","Romania","Dec-2013",34.675,
"Western Australia","Total","TOTAL","Monthly","Romania","Feb-2014",153.209,
"Western Australia","Total","TOTAL","Monthly","Romania","Mar-2014",126.442,
"Western Australia","Total","TOTAL","Monthly","Romania","Apr-2014",60.892,
"Western Australia","Total","TOTAL","Monthly","Romania","May-2014",11.201,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Jun-2012",20638.045,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Jul-2012",7281.34,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Aug-2012",8426.43,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Sep-2012",8111.701,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Oct-2012",34861.431,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Nov-2012",6361.602,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Dec-2012",29102.147,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Jan-2013",22560.212,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Feb-2013",10460.46,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Mar-2013",67846.642,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Apr-2013",58002.145,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","May-2013",60118.996,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Jun-2013",61303.554,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Jul-2013",30373.482,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Aug-2013",21968.943,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Sep-2013",34571.148,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Oct-2013",26076.817,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Nov-2013",26010.52,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Dec-2013",117162.937,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Jan-2014",74407.206,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Feb-2014",113918.586,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Mar-2014",87848.674,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","Apr-2014",59009.853,
"Western Australia","Total","TOTAL","Monthly","Saudi Arabia","May-2014",97510.299,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Jun-2012",30.803,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Jul-2012",74.034,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Aug-2012",41.287,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Sep-2012",10.24,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Oct-2012",39.053,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Nov-2012",4.38,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Dec-2012",35.934,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Feb-2013",11.08,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Mar-2013",126.6,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Apr-2013",17.844,
"Western Australia","Total","TOTAL","Monthly","Seychelles","May-2013",50.32,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Jul-2013",22.155,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Sep-2013",12.483,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Oct-2013",48.441,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Nov-2013",12.638,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Dec-2013",11.379,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Jan-2014",42.903,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Feb-2014",64.668,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Mar-2014",12.523,
"Western Australia","Total","TOTAL","Monthly","Seychelles","Apr-2014",158.934,
"Western Australia","Total","TOTAL","Monthly","Seychelles","May-2014",101.499,
"Western Australia","Total","TOTAL","Monthly","Ship & Aircraft Stores","Jun-2012",6967.86,
"Western Australia","Total","TOTAL","Monthly","Ship & Aircraft Stores","Jul-2012",4883.282,
"Western Australia","Total","TOTAL","Monthly","Ship & Aircraft Stores","Aug-2012",2677.323,
"Western Australia","Total","TOTAL","Monthly","Ship & Aircraft Stores","Sep-2012",3306.129,
"Western Australia","Total","TOTAL","Monthly","Ship & Aircraft Stores","Oct-2012",3560.378,
"Western Australia","Total","TOTAL","Monthly","Ship & Aircraft Stores","Nov-2012",5097.915,
